locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLGMAHPF_00036	CDS	1119	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
LLGMAHPF_00037	CDS	1587	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
LLGMAHPF_00038	CDS	714				hypothetical protein
LLGMAHPF_00039	CDS	609				hypothetical protein
LLGMAHPF_00040	CDS	153				hypothetical protein
LLGMAHPF_00041	CDS	1791	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
LLGMAHPF_00042	CDS	525				hypothetical protein
LLGMAHPF_00043	CDS	1803	dfa5	1.-.-.-	COG0426	Putative diflavin flavoprotein A 5
LLGMAHPF_00044	CDS	1776	dfa1	1.-.-.-		Diflavin flavoprotein A 1
LLGMAHPF_00045	CDS	2661	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
LLGMAHPF_00046	CDS	1947	speA_1	4.1.1.19		Biosynthetic arginine decarboxylase
LLGMAHPF_00047	CDS	459	ndk	2.7.4.6		Nucleoside diphosphate kinase
LLGMAHPF_00048	CDS	1110	hcnC	1.4.99.5	COG0665	Hydrogen cyanide synthase subunit HcnC
LLGMAHPF_00049	CDS	1473	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
LLGMAHPF_00050	CDS	615	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
LLGMAHPF_00051	CDS	1239	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
LLGMAHPF_00052	CDS	672				hypothetical protein
LLGMAHPF_00053	CDS	963		1.-.-.-	COG0667	putative oxidoreductase
LLGMAHPF_00054	CDS	135				hypothetical protein
LLGMAHPF_00055	tmRNA	313	ssrA			transfer-messenger RNA, SsrA
LLGMAHPF_00056	CDS	1125	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
LLGMAHPF_00057	CDS	387				hypothetical protein
LLGMAHPF_00058	CDS	462				hypothetical protein
LLGMAHPF_00059	CDS	138				hypothetical protein
LLGMAHPF_00060	CDS	363				hypothetical protein
LLGMAHPF_00061	CDS	3585	smc		COG1196	Chromosome partition protein Smc
LLGMAHPF_00062	CDS	1023				hypothetical protein
LLGMAHPF_00063	CDS	1290	lpxB_1	2.4.1.182		Lipid-A-disaccharide synthase
LLGMAHPF_00064	tRNA	84				tRNA-Leu(aag)
LLGMAHPF_00065	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
LLGMAHPF_00066	CDS	306				hypothetical protein
LLGMAHPF_00067	CDS	189	psbX			Photosystem II reaction center X protein
LLGMAHPF_00068	CDS	975				hypothetical protein
LLGMAHPF_00069	CDS	234				hypothetical protein
LLGMAHPF_00070	CDS	1983				hypothetical protein
LLGMAHPF_00071	CDS	288				hypothetical protein
LLGMAHPF_00072	CDS	342		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
LLGMAHPF_00073	CDS	606	def	3.5.1.88	COG0242	Peptide deformylase
LLGMAHPF_00074	CDS	1929				hypothetical protein
LLGMAHPF_00075	CDS	1278	csd	2.8.1.7		putative cysteine desulfurase
LLGMAHPF_00076	CDS	1218				hypothetical protein
LLGMAHPF_00077	CDS	786	sufC		COG0396	putative ATP-dependent transporter SufC
LLGMAHPF_00078	CDS	1443	sufB		COG0719	FeS cluster assembly protein SufB
LLGMAHPF_00079	CDS	363				hypothetical protein
LLGMAHPF_00080	CDS	1107				hypothetical protein
LLGMAHPF_00081	CDS	171				hypothetical protein
LLGMAHPF_00082	CDS	1638	pgm	5.4.2.2	COG0033	Phosphoglucomutase
LLGMAHPF_00083	CDS	1290			COG2256	putative AAA domain-containing protein
LLGMAHPF_00084	CDS	468	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
LLGMAHPF_00085	CDS	681	coaX	2.7.1.33		Type III pantothenate kinase
LLGMAHPF_00086	CDS	723	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
LLGMAHPF_00087	CDS	1185	ndbB	1.6.5.12		Demethylphylloquinone reductase NdbB
LLGMAHPF_00088	CDS	1854				hypothetical protein
LLGMAHPF_00089	CDS	1404	ktrB		COG0168	Ktr system potassium uptake protein B
LLGMAHPF_00090	CDS	705	ktrA		COG0569	Ktr system potassium uptake protein A
LLGMAHPF_00091	CDS	309				hypothetical protein
LLGMAHPF_00092	CDS	339				hypothetical protein
LLGMAHPF_00093	CDS	231				hypothetical protein
LLGMAHPF_00094	CDS	183				hypothetical protein
LLGMAHPF_00095	CDS	1623	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
LLGMAHPF_00096	CDS	144				hypothetical protein
LLGMAHPF_00097	CDS	1149	hhoA_1			Putative serine protease HhoA
LLGMAHPF_00098	CDS	264				hypothetical protein
LLGMAHPF_00099	CDS	384				hypothetical protein
LLGMAHPF_00100	CDS	147				hypothetical protein
LLGMAHPF_00101	CDS	327				hypothetical protein
LLGMAHPF_00102	CDS	927				hypothetical protein
LLGMAHPF_00103	CDS	798	cysQ_1	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
LLGMAHPF_00104	CDS	1431				hypothetical protein
LLGMAHPF_00105	CDS	1413				hypothetical protein
LLGMAHPF_00106	CDS	768				hypothetical protein
LLGMAHPF_00107	CDS	1668	nadB	1.4.3.16	COG0029	L-aspartate oxidase
LLGMAHPF_00108	CDS	936		1.17.4.-	COG4243	Vitamin K epoxide reductase 
LLGMAHPF_00109	CDS	1365	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
LLGMAHPF_00110	CDS	93				hypothetical protein
LLGMAHPF_00111	CDS	387				hypothetical protein
LLGMAHPF_00112	CDS	1155				hypothetical protein
LLGMAHPF_00113	CDS	663				hypothetical protein
LLGMAHPF_00114	CDS	927				hypothetical protein
LLGMAHPF_00115	CDS	558	aroK	2.7.1.71		Shikimate kinase
LLGMAHPF_00116	CDS	711				hypothetical protein
LLGMAHPF_00117	CDS	726				hypothetical protein
LLGMAHPF_00118	CDS	171				hypothetical protein
LLGMAHPF_00119	CDS	399	rbfA		COG0858	30S ribosome-binding factor
LLGMAHPF_00120	CDS	792				hypothetical protein
LLGMAHPF_00121	CDS	471				hypothetical protein
LLGMAHPF_00122	CDS	1455	pds_1	1.3.5.5	COG3349	15-cis-phytoene desaturase
LLGMAHPF_00123	CDS	393	iscA		COG0316	Iron-binding protein IscA
LLGMAHPF_00124	CDS	429				hypothetical protein
LLGMAHPF_00125	CDS	1200				hypothetical protein
LLGMAHPF_00126	CDS	270				hypothetical protein
LLGMAHPF_00127	CDS	933				Epimerase family protein
LLGMAHPF_00128	CDS	243	ndhO	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit O
LLGMAHPF_00129	CDS	678	dnaJ_2			Chaperone protein DnaJ
LLGMAHPF_00130	CDS	969	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
LLGMAHPF_00131	CDS	270				hypothetical protein
LLGMAHPF_00132	CDS	684	ecfA1	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
LLGMAHPF_00133	tRNA	74				tRNA-Asn(gtt)
LLGMAHPF_00134	CDS	972				hypothetical protein
LLGMAHPF_00135	CDS	360				hypothetical protein
LLGMAHPF_00136	CDS	756	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
LLGMAHPF_00137	CDS	960				hypothetical protein
LLGMAHPF_00138	CDS	645	tmk	2.7.4.9	COG0125	Thymidylate kinase
LLGMAHPF_00139	CDS	2298	pacS	7.2.2.8		putative copper-transporting ATPase PacS
LLGMAHPF_00140	CDS	522	ycf3			Photosystem I assembly protein Ycf3
LLGMAHPF_00141	CDS	1353	radA	3.6.4.-	COG1066	DNA repair protein RadA
LLGMAHPF_00142	CDS	747	walR		COG0745	Transcriptional regulatory protein WalR
LLGMAHPF_00143	CDS	1401	plsX	2.3.1.274		Phosphate acyltransferase
LLGMAHPF_00144	CDS	1008	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
LLGMAHPF_00145	CDS	897	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
LLGMAHPF_00146	CDS	621	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
LLGMAHPF_00147	CDS	651				hypothetical protein
LLGMAHPF_00148	CDS	213				hypothetical protein
LLGMAHPF_00149	CDS	1248		2.7.7.-		CC-adding tRNA nucleotidyltransferase
LLGMAHPF_00150	CDS	420				hypothetical protein
LLGMAHPF_00151	CDS	909	crtB	2.5.1.32		15-cis-phytoene synthase
LLGMAHPF_00152	CDS	1422	pds_2	1.3.5.5	COG3349	15-cis-phytoene desaturase
LLGMAHPF_00153	CDS	348	ndhM	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit M
LLGMAHPF_00154	CDS	618				hypothetical protein
LLGMAHPF_00155	CDS	954	cmpR			HTH-type transcriptional activator CmpR
LLGMAHPF_00156	CDS	729				hypothetical protein
LLGMAHPF_00157	CDS	2013	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
LLGMAHPF_00158	CDS	1641	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
LLGMAHPF_00159	CDS	714				hypothetical protein
LLGMAHPF_00160	CDS	1179	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
LLGMAHPF_00161	CDS	891	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
LLGMAHPF_00162	CDS	279				hypothetical protein
LLGMAHPF_00163	CDS	186				hypothetical protein
LLGMAHPF_00164	CDS	477		3.6.1.25	COG2954	Inorganic triphosphatase
LLGMAHPF_00165	CDS	915	nadK_1	2.7.1.23		NAD kinase
LLGMAHPF_00166	CDS	321	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
LLGMAHPF_00167	CDS	600				hypothetical protein
LLGMAHPF_00168	CDS	627	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I
LLGMAHPF_00169	CDS	1119	ndhA	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
LLGMAHPF_00170	CDS	1146	gltA	2.3.3.16	COG0372	Citrate synthase
LLGMAHPF_00171	CDS	1458				hypothetical protein
LLGMAHPF_00172	CDS	351				hypothetical protein
LLGMAHPF_00173	CDS	1245	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
LLGMAHPF_00174	CDS	312				hypothetical protein
LLGMAHPF_00175	CDS	627	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
LLGMAHPF_00176	CDS	492	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
LLGMAHPF_00177	CDS	702	chlM	2.1.1.11		Magnesium-protoporphyrin O-methyltransferase
LLGMAHPF_00178	CDS	729	rcsC	2.7.13.3		Sensor histidine kinase RcsC
LLGMAHPF_00179	CDS	1146	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
LLGMAHPF_00180	CDS	903	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
LLGMAHPF_00181	CDS	1188	ndhH	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit H
LLGMAHPF_00182	CDS	453		3.1.2.28	COG0824	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
LLGMAHPF_00183	CDS	1218	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
LLGMAHPF_00184	CDS	966	menC	4.2.1.113		o-succinylbenzoate synthase
LLGMAHPF_00185	CDS	918	menA_1	2.5.1.130		2-carboxy-1,4-naphthoquinone phytyltransferase
LLGMAHPF_00186	CDS	1398	menF_1	5.4.4.2		Isochorismate synthase MenF
LLGMAHPF_00187	CDS	924	gshB	6.3.2.3	COG0189	Glutathione synthetase
LLGMAHPF_00188	CDS	255				putative glutaredoxin
LLGMAHPF_00189	CDS	1065	prfB		COG1186	Peptide chain release factor 2
LLGMAHPF_00190	CDS	183				hypothetical protein
LLGMAHPF_00191	CDS	543	ybeY	3.1.-.-		Endoribonuclease YbeY
LLGMAHPF_00192	CDS	417	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
LLGMAHPF_00193	CDS	597	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
LLGMAHPF_00194	CDS	729				hypothetical protein
LLGMAHPF_00195	CDS	1110	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
LLGMAHPF_00196	CDS	1812	argS	6.1.1.19		Arginine--tRNA ligase
LLGMAHPF_00197	CDS	867	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
LLGMAHPF_00198	CDS	1383	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
LLGMAHPF_00199	CDS	453				hypothetical protein
LLGMAHPF_00200	CDS	2310	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
LLGMAHPF_00201	CDS	1596	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
LLGMAHPF_00202	CDS	969	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
LLGMAHPF_00203	CDS	867	rbgA		COG1161	Ribosome biogenesis GTPase A
LLGMAHPF_00204	CDS	1209	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
LLGMAHPF_00205	CDS	732				hypothetical protein
LLGMAHPF_00206	CDS	1095	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
LLGMAHPF_00207	CDS	1125	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
LLGMAHPF_00208	CDS	1170	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
LLGMAHPF_00209	CDS	723	rnhA	3.1.26.4		Ribonuclease H
LLGMAHPF_00210	CDS	396	rplL			50S ribosomal protein L7/L12
LLGMAHPF_00211	CDS	528	rplJ		COG0244	50S ribosomal protein L10
LLGMAHPF_00212	CDS	687	rplA		COG0081	50S ribosomal protein L1
LLGMAHPF_00213	CDS	426	rplK			50S ribosomal protein L11
LLGMAHPF_00214	CDS	600	nusG			Transcription termination/antitermination protein NusG
LLGMAHPF_00215	CDS	240				hypothetical protein
LLGMAHPF_00216	CDS	2760	clpB1_1		COG0542	Chaperone protein ClpB 1
LLGMAHPF_00217	CDS	1293	eno	4.2.1.11	COG0148	Enolase
LLGMAHPF_00218	CDS	1668	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
LLGMAHPF_00219	CDS	318				hypothetical protein
LLGMAHPF_00220	CDS	981	trxB	1.8.1.9	COG0492	Thioredoxin reductase
LLGMAHPF_00221	CDS	282				hypothetical protein
LLGMAHPF_00222	CDS	999				hypothetical protein
LLGMAHPF_00223	CDS	1656	bicA		COG0659	Bicarbonate transporter BicA
LLGMAHPF_00224	CDS	1002	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
LLGMAHPF_00225	CDS	393				hypothetical protein
LLGMAHPF_00226	CDS	2412	mutS2	3.1.-.-		Endonuclease MutS2
LLGMAHPF_00227	CDS	984	obg	3.6.5.-		GTPase Obg
LLGMAHPF_00228	CDS	183				hypothetical protein
LLGMAHPF_00229	CDS	948	pcpF	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase PcpF
LLGMAHPF_00230	CDS	888		3.5.1.15		aspartoacylase
LLGMAHPF_00231	CDS	1083	psbA	1.10.3.9		Photosystem II protein D1
LLGMAHPF_00232	CDS	1095	aroC	4.2.3.5	COG0082	Chorismate synthase
LLGMAHPF_00233	CDS	642				hypothetical protein
LLGMAHPF_00234	CDS	1857	ftsH3	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 3
LLGMAHPF_00235	CDS	1176	sat/cysC		COG0529	putative bifunctional SAT/APS kinase
LLGMAHPF_00236	CDS	795	psbO			Photosystem II manganese-stabilizing polypeptide
LLGMAHPF_00237	CDS	1257	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
LLGMAHPF_00238	CDS	222				hypothetical protein
LLGMAHPF_00239	CDS	183				hypothetical protein
LLGMAHPF_00240	CDS	342				hypothetical protein
LLGMAHPF_00241	CDS	1017	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
LLGMAHPF_00242	CDS	498		3.2.2.-	COG2094	Putative 3-methyladenine DNA glycosylase
LLGMAHPF_00243	CDS	294	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
LLGMAHPF_00244	CDS	726				hypothetical protein
LLGMAHPF_00245	tRNA	82				tRNA-Leu(tag)
LLGMAHPF_00246	CDS	525				hypothetical protein
LLGMAHPF_00247	CDS	2898	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
LLGMAHPF_00248	CDS	624				hypothetical protein
LLGMAHPF_00249	CDS	630	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
LLGMAHPF_00250	CDS	1359	glmM_1	5.4.2.10	COG1109	Phosphoglucosamine mutase
LLGMAHPF_00251	CDS	546	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
LLGMAHPF_00252	CDS	639	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
LLGMAHPF_00253	CDS	594	dcd	3.5.4.13	COG0717	dCTP deaminase
LLGMAHPF_00254	CDS	576				hypothetical protein
LLGMAHPF_00255	CDS	735	ntcA			Global nitrogen regulator
LLGMAHPF_00256	CDS	972				hypothetical protein
LLGMAHPF_00257	CDS	438				hypothetical protein
LLGMAHPF_00258	CDS	258				hypothetical protein
LLGMAHPF_00259	CDS	612	pth	3.1.1.29		Peptidyl-tRNA hydrolase
LLGMAHPF_00260	CDS	201	psbH			Photosystem II reaction center protein H
LLGMAHPF_00261	CDS	153	psbN			Protein PsbN
LLGMAHPF_00262	CDS	2037	lptD			LPS-assembly protein LptD
LLGMAHPF_00263	CDS	621	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
LLGMAHPF_00264	CDS	1410	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
LLGMAHPF_00265	CDS	1302	cinA		COG1058	Putative competence-damage inducible protein
LLGMAHPF_00266	CDS	1272	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
LLGMAHPF_00267	tRNA	76				tRNA-Arg(acg)
LLGMAHPF_00268	CDS	252				hypothetical protein
LLGMAHPF_00269	CDS	282				hypothetical protein
LLGMAHPF_00270	CDS	1581	murJ		COG0728	Lipid II flippase MurJ
LLGMAHPF_00271	CDS	747	sfsA		COG1489	Sugar fermentation stimulation protein A
LLGMAHPF_00272	CDS	1461	amtB			Ammonia channel
LLGMAHPF_00273	CDS	1197	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
LLGMAHPF_00274	CDS	561				hypothetical protein
LLGMAHPF_00275	CDS	1554	purH			Bifunctional purine biosynthesis protein PurH
LLGMAHPF_00276	CDS	618				hypothetical protein
LLGMAHPF_00277	CDS	384				hypothetical protein
LLGMAHPF_00278	CDS	1137	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
LLGMAHPF_00279	CDS	741	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
LLGMAHPF_00280	CDS	1119	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
LLGMAHPF_00281	CDS	141	psbK			Photosystem II reaction center protein K
LLGMAHPF_00282	CDS	1005	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
LLGMAHPF_00283	CDS	1269				hypothetical protein
LLGMAHPF_00284	tRNA	76				tRNA-Met(cat)
LLGMAHPF_00285	CDS	561	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
LLGMAHPF_00286	CDS	849	ygfZ			tRNA-modifying protein YgfZ
LLGMAHPF_00287	CDS	1419				hypothetical protein
LLGMAHPF_00288	CDS	1461	glmM_2	5.4.2.10	COG1109	Phosphoglucosamine mutase
LLGMAHPF_00289	CDS	576		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
LLGMAHPF_00290	CDS	1524		1.13.11.75		Apocarotenoid-15,15'-oxygenase
LLGMAHPF_00291	CDS	606	hisB_1		COG0131	Histidine biosynthesis bifunctional protein HisB
LLGMAHPF_00292	CDS	864	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
LLGMAHPF_00293	CDS	576				hypothetical protein
LLGMAHPF_00294	CDS	1206	fdtB_1	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
LLGMAHPF_00295	CDS	1437	phr	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
LLGMAHPF_00296	CDS	564	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
LLGMAHPF_00297	CDS	564				hypothetical protein
LLGMAHPF_00298	CDS	2157				hypothetical protein
LLGMAHPF_00299	CDS	846				hypothetical protein
LLGMAHPF_00300	CDS	819	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
LLGMAHPF_00301	CDS	1386				Gluconeogenesis factor
LLGMAHPF_00302	CDS	531	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J
LLGMAHPF_00303	CDS	735	ndhK1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K 1
LLGMAHPF_00304	CDS	363	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
LLGMAHPF_00305	CDS	429				hypothetical protein
LLGMAHPF_00306	CDS	1014			COG4447	Ycf48-like protein
LLGMAHPF_00307	CDS	249	psbE			Cytochrome b559 subunit alpha
LLGMAHPF_00308	CDS	144	psbF			Cytochrome b559 subunit beta
LLGMAHPF_00309	CDS	195	psbJ			Photosystem II reaction center protein J
LLGMAHPF_00310	CDS	900	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
LLGMAHPF_00311	CDS	2169	selD	2.7.9.3		Selenide, water dikinase
LLGMAHPF_00312	CDS	1248	pcnB	2.7.7.19		Poly(A) polymerase I
LLGMAHPF_00313	CDS	2409	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
LLGMAHPF_00314	CDS	201				hypothetical protein
LLGMAHPF_00315	CDS	528	cpeB			R-phycoerythrin subunit beta
LLGMAHPF_00316	CDS	552	cpeS	4.-.-.-		Phycoerythrobilin lyase CpeS
LLGMAHPF_00317	CDS	180				hypothetical protein
LLGMAHPF_00318	CDS	636				hypothetical protein
LLGMAHPF_00319	CDS	420				hypothetical protein
LLGMAHPF_00320	tRNA	75				tRNA-Phe(gaa)
LLGMAHPF_00321	CDS	1230	PSK	2.7.1.47	COG1070	D-ribulose kinase
LLGMAHPF_00322	CDS	1242	metK	2.5.1.6		S-adenosylmethionine synthase
LLGMAHPF_00323	CDS	1092	rpsA		COG0539	30S ribosomal protein S1
LLGMAHPF_00324	CDS	480	nrdR		COG1327	Transcriptional repressor NrdR
LLGMAHPF_00325	CDS	1524	psbB			Photosystem II CP47 reaction center protein
LLGMAHPF_00326	CDS	363				hypothetical protein
LLGMAHPF_00327	CDS	153	psbM			Photosystem II reaction center protein M
LLGMAHPF_00328	CDS	870	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
LLGMAHPF_00329	CDS	585	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
LLGMAHPF_00330	CDS	177				hypothetical protein
LLGMAHPF_00331	tRNA	74				tRNA-Thr(tgt)
LLGMAHPF_00332	CDS	318	minE			Cell division topological specificity factor
LLGMAHPF_00333	CDS	816	minD		COG2894	Septum site-determining protein MinD
LLGMAHPF_00334	CDS	663	minC			septum site-determining protein MinC
LLGMAHPF_00335	CDS	1260				hypothetical protein
LLGMAHPF_00336	CDS	1236				hypothetical protein
LLGMAHPF_00337	CDS	657	petB		COG1290	Cytochrome b6
LLGMAHPF_00338	CDS	483	petD			Cytochrome b6-f complex subunit 4
LLGMAHPF_00339	CDS	1437				hypothetical protein
LLGMAHPF_00340	rRNA	1480				16S ribosomal RNA
LLGMAHPF_00341	tRNA	76				tRNA-Ile(gat)
LLGMAHPF_00342	tRNA	74				tRNA-Ala(tgc)
LLGMAHPF_00343	rRNA	2872				23S ribosomal RNA
LLGMAHPF_00344	rRNA	103				5S ribosomal RNA
LLGMAHPF_00345	CDS	879	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
LLGMAHPF_00346	CDS	210	psaE			Photosystem I reaction center subunit IV
LLGMAHPF_00347	CDS	762				hypothetical protein
LLGMAHPF_00348	CDS	1392	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
LLGMAHPF_00349	CDS	594				hypothetical protein
LLGMAHPF_00350	CDS	888				hypothetical protein
